CustomerID,Recency,Frequency,Monetary,Cluster
278,279,6,3875.27,3
279,277,7,2925.58,3
280,8,10,6445.6,0
281,60,9,6215.91,0
282,4,11,4881.36,0
283,110,10,5916.04,0
284,8,11,7519.01,2
285,13,14,9162.36,2
286,120,12,3500.84,0
287,187,7,3885.98,3
288,81,17,8373.59,2
289,8,15,10092.08,2
290,39,9,4748.76,0
291,33,10,4835.35,0
292,43,8,3525.43,1
293,4,15,6630.34,2
294,119,12,8335.53,2
295,0,10,4382.81,0
296,79,7,5426.18,0
297,38,4,1131.88,1
298,197,4,2433.1,3
299,193,3,1620.82,3
300,42,7,4881.36,1
301,2,14,8969.76,2
302,84,16,11212.88,2
303,115,16,7809.45,2
304,78,11,3669.68,0
305,39,15,11135.99,2
306,11,6,2599.88,1
307,4,9,3771.05,0
308,1,10,5023.26,0
309,42,8,5849.52,0
310,5,13,4501.95,0
311,181,11,6932.2,3
312,30,9,5563.39,0
313,4,13,4039.9,0
314,48,12,3436.81,0
315,167,6,2018.22,3
316,26,14,6672.27,2
317,51,6,3513.73,1
318,9,13,8047.67,2
319,63,11,7383.88,2
320,88,13,7812.95,2
321,14,9,4334.88,0
322,10,4,603.48,1
323,80,10,5151.74,0
324,94,12,6987.82,2
325,23,12,9522.58,2
326,20,10,4230.24,0
327,119,7,6005.35,0
328,14,13,9347.43,2
329,146,7,3954.54,3
330,18,11,5215.07,0
331,127,7,4709.26,1
332,5,7,3013.87,1
333,176,6,1887.12,3
334,40,8,2054.44,1
335,9,8,6965.08,0
336,14,10,3412.74,0
337,4,9,4613.68,0
338,101,11,5772.93,0
339,111,5,3981.94,1
340,56,10,3598.84,0
341,4,11,5058.08,0
342,64,14,5313.67,0
343,38,7,2377.48,1
344,30,14,7688.42,2
345,254,10,5351.64,3
346,2,9,6514.35,0
347,19,9,4054.69,0
348,3,8,4817.57,0
349,49,14,8362.05,2
350,22,12,9920.21,2
351,7,4,656.27,1
352,58,9,4774.78,0
353,22,10,5268.88,0
354,21,13,7179.57,2
355,27,10,4819.51,0
356,116,8,4955.08,0
357,54,8,3561.04,1
358,110,6,2618.16,1
359,123,11,4543.4,0
360,0,14,6863.96,2
361,64,11,4776.45,0
362,37,6,2667.6,1
363,31,9,7296.94,0
364,39,14,7623.85,2
365,50,16,10267.38,2
366,37,9,4608.65,0
367,62,7,2953.39,1
368,89,3,2474.18,1
369,163,15,7581.58,2
370,140,7,4795.82,3
371,15,14,4643.06,0
372,139,6,4514.54,3
373,31,9,2906.55,1
374,124,12,8869.48,2
375,7,11,6272.07,0
376,69,15,8474.46,2
377,100,8,2603.51,1
378,16,7,3593.94,1
379,180,13,5069.11,3
380,29,15,6091.33,2
381,148,11,6972.25,0
382,70,9,4495.61,0
383,286,6,3516.73,3
384,40,10,6210.55,0
385,37,10,5293.91,0
386,55,12,6816.61,2
387,65,13,6588.52,2
388,137,10,4955.78,0
389,36,5,1082.25,1
390,1,8,2735.39,1
391,18,11,6621.79,0
392,305,8,5922.36,3
393,6,13,10038.73,2
394,6,9,4280.54,0
395,2,11,7933.43,2
396,27,8,4433.47,0
397,86,14,5355.28,0
398,37,9,5395.11,0
399,11,13,6898.05,2
400,57,12,6167.88,0
401,41,14,4626.06,0
402,1,9,5826.79,0
403,31,12,6365.0,0
404,34,9,4674.88,0
405,91,13,6968.77,2
406,67,10,5330.46,0
407,81,14,6299.47,2
408,110,11,6498.38,0
409,42,11,4798.56,0
410,207,8,3143.53,3
411,51,9,3617.66,0
412,310,5,2342.84,3
413,146,5,2853.34,1
414,30,11,7663.82,2
415,0,8,5306.97,0
416,68,9,3561.24,1
417,144,16,9206.45,2
418,4,11,5760.56,0
419,56,10,5942.26,0
420,21,14,5577.31,0
421,55,6,3089.47,1
422,44,14,8633.86,2
423,91,8,3830.51,1
424,4,17,10279.98,2
425,132,13,4749.88,0
426,3,8,4411.03,0
427,109,10,4352.4,0
428,31,10,4256.17,0
429,22,7,4917.22,0
430,57,7,2708.54,1
431,27,12,8742.92,2
432,0,12,10169.44,2
433,338,4,2961.08,3
434,72,8,3442.87,1
435,70,19,13299.32,2
436,52,11,5351.94,0
437,62,9,2725.1,1
438,198,6,3920.27,3
439,29,6,1765.89,1
440,28,11,9900.52,2
441,111,12,7342.34,2
442,95,9,5507.39,0
443,2,14,10810.09,2
444,70,12,5517.65,0
445,90,14,6065.22,2
446,4,15,8286.89,2
447,95,10,7413.36,0
448,178,6,1410.48,3
449,95,8,2943.47,1
450,39,17,8621.39,2
451,78,8,5505.9,0
452,242,6,2718.02,3
453,67,7,5281.83,0
454,2,12,7126.48,2
455,64,11,3637.49,0
456,77,11,4440.6,0
457,68,9,4250.61,0
458,11,6,4140.6,1
459,10,15,7555.09,2
460,15,10,3759.75,0
461,142,13,6631.41,2
462,67,11,6897.55,0
463,45,11,5824.98,0
464,45,6,3404.01,1
465,62,8,4538.22,0
466,37,12,4229.19,0
467,51,8,3670.28,1
468,25,8,5283.73,0
469,55,10,3299.54,0
470,110,7,5409.47,0
471,102,12,6326.31,0
472,240,10,5655.94,3
473,18,11,5963.95,0
474,37,12,5754.54,0
475,116,10,5261.69,0
476,129,19,13356.18,2
477,115,13,6907.06,2
478,10,11,6303.67,0
479,121,4,1897.4,1
480,124,5,4615.02,1
481,8,10,6028.51,0
482,89,11,8272.04,2
483,5,12,7215.81,2
484,12,6,2649.42,1
485,72,16,8385.35,2
486,32,9,3702.86,0
487,112,6,2168.89,1
488,82,6,1693.12,1
489,133,8,3215.03,1
490,30,9,2863.4,1
491,18,8,2095.61,1
492,289,9,4300.27,3
493,32,11,5016.9,0
494,32,12,8173.39,2
495,47,8,4500.69,0
496,90,8,2574.43,1
497,3,16,10250.96,2
498,4,9,3601.74,0
499,10,9,4334.74,0
500,68,18,7768.95,2
